permit type,street number,street suffix,current status,number of existing stories,number of proposed stories,estimated cost,revised cost,existing use,existing units,proposed use,proposed units,plansets,existing construction type,proposed construction type,supervisor district,neighborhoods - analysis boundaries,zipcode,if_permit_created_on_file_date,if_completed,if_first_construc_is_issue_date,diff_permit_date,expired_before_completed,ratio_stories,existing_proposed_construction_type,ratio_estimated_revised,ratio_existing_proposed_units,latitude,longitude,permit creation date_col,current status date_col,filed date_col,issued date_col,completed date_col,first construction document date_col,permit expiration date_col
8,0.4820100012196609,12,6,2.0,2.0,4580.0,1.0,27,0.0,64,0.0,2.0,5.0,4.0,2.0,29,94118.0,True,False,True,-1260 days,False,1.0,False,4580.0,,37.78826160313802,-122.45839792897874,736642,736642,736642,736642,734948,736642,735382
8,0.19148676667886327,12,6,4.0,4.0,1000.0,1.0,61,0.0,32,1.0,2.0,5.0,4.0,3.0,19,94109.0,True,False,True,-1264 days,False,1.0,False,1000.0,0.0,37.79160220196534,-122.41866491945744,736646,736646,736646,736646,734948,736646,735382
8,0.4048054640809855,12,6,4.0,4.0,14000.0,1.0,25,1.0,47,1.0,2.0,5.0,4.0,9.0,17,94110.0,True,False,True,-1264 days,False,1.0,False,14000.0,1.0,37.760524816501416,-122.41758272141853,736646,736646,736646,736646,734948,736646,735382
8,0.08744968898646176,12,6,3.0,3.0,2500.0,1.0,6,6.0,6,6.0,0.0,3.0,5.0,5.0,8,94117.0,True,False,True,-1264 days,False,1.0,False,2500.0,1.0,37.76807732513583,-122.45007833970155,736646,736646,736646,736646,734948,736646,735382
3,0.6158068057080132,12,5,2.0,2.0,112000.0,135000.0,61,1.0,18,1.0,2.0,5.0,5.0,11.0,23,94112.0,True,False,True,-1266 days,False,1.0,True,0.8296296296296296,1.0,37.71772263199437,-122.44060092814006,736648,736648,736648,735022,734948,735022,735382
8,0.07598487620441517,12,6,2.0,4.0,1.0,1.0,61,5.0,51,3.0,2.0,3.0,5.0,10.0,17,94110.0,True,False,True,-1268 days,False,0.5,False,1.0,1.6666666666666667,37.761456067566776,-122.40846096212044,736650,736650,736650,736650,734948,736650,735382
8,0.018904744481034273,12,6,4.0,4.0,1.0,0.0,61,2.0,59,0.0,2.0,3.0,5.0,9.0,1,94110.0,True,False,True,-1271 days,False,1.0,False,inf,inf,37.73977153028013,-122.41727389222731,736653,736653,736653,736653,734948,736653,735382
8,0.22624710330528114,12,6,11.0,10.0,6000.0,1.0,44,6.0,22,3.0,2.0,5.0,5.0,2.0,16,94123.0,True,False,True,-1278 days,False,1.1,True,6000.0,2.0,37.80500098348984,-122.44312789248019,736660,736660,736660,736660,734948,736660,735382
8,0.15123795584827418,1,6,2.0,2.0,6000.0,6000.0,6,3.0,6,3.0,0.0,5.0,5.0,5.0,11,94122.0,True,False,True,181 days,False,1.0,True,1.0,1.0,37.76535779270799,-122.46346983597869,736660,736660,736660,736660,734948,736660,736841
8,0.3124771313574826,1,6,2.0,3.0,15000.0,1.0,29,291.0,34,279.0,2.0,3.0,5.0,7.0,38,94116.0,True,False,True,-1279 days,False,0.6666666666666666,False,15000.0,1.043010752688172,37.74014357143049,-122.47259785447889,736661,736661,736661,736661,734948,736661,735382
8,0.1773386998414441,12,6,2.0,2.0,2325.0,1.0,44,0.0,49,0.0,2.0,5.0,4.0,3.0,30,94109.0,True,False,True,-1281 days,False,1.0,False,2325.0,,37.794608915442694,-122.41666671768017,736663,736663,736663,736663,734948,736663,735382
8,0.02000243932186852,12,6,3.0,3.0,15000.0,1.0,12,31.0,34,30.0,2.0,3.0,5.0,3.0,5,94102.0,True,False,True,-1282 days,False,1.0,False,15000.0,1.0333333333333334,37.78622455286341,-122.40734672057884,736664,736664,736664,736664,734948,736664,735382
8,0.10171972191730698,1,6,2.0,2.0,3000.0,1.0,61,1.0,55,1.0,2.0,5.0,5.0,1.0,24,94121.0,True,False,True,-1286 days,False,1.0,True,3000.0,1.0,37.7731864648277,-122.4931642429677,736668,736668,736668,736668,734948,736668,735382
8,0.15892181973411393,12,6,2.0,2.0,3475.0,1.0,53,15.0,64,15.0,0.0,5.0,4.0,2.0,16,94123.0,True,False,True,-1287 days,False,1.0,False,3475.0,1.0,37.803097650767135,-122.4268812097281,736669,736669,736669,736669,734948,736669,735382
